id,nome,logo,local,categoria,taxa,minimo
9cdf658e-34d5-4084-ad55-88ddf67fda4f,P&A Gourmet,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/9cdf658e-34d5-4084-ad55-88ddf67fda4f/202106082010_B2H5_i.jpg,natal-rn,Doces & Bolos,9.49,10.0
ff3b6a43-2dce-4312-9b1b-c8725c3f1b99,Pathy Acai,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/ff3b6a43-2dce-4312-9b1b-c8725c3f1b99/202107171817_7E1j_i.png,parnamirim-rn,Açaí,9.49,10.0
02f919fd-ad91-4121-8951-9284fbbc3b50,Açai dos Gêmeos,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/02f919fd-ad91-4121-8951-9284fbbc3b50/202107201945_5nNu_i.jpg,parnamirim-rn,Açaí,8.49,10.0
5cbf6720-c750-4cd2-b42a-c326bc6d5afd,Magazine Cr Santos,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/5cbf6720-c750-4cd2-b42a-c326bc6d5afd/202104121736_fLJ5_i.jpg,natal-rn,Cafeteria,8.0,20.0
8cf32d45-352c-4af5-abfe-83b5743c7106,Budega do Bolo,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/8cf32d45-352c-4af5-abfe-83b5743c7106/202104062055_8TGn_.jpeg,natal-rn,Doces & Bolos,0.0,30.0
118958d7-aacd-4ba1-95ae-7d58b166b80f,Topangas,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/118958d7-aacd-4ba1-95ae-7d58b166b80f/202107101440_Zoew_.jpeg,natal-rn,Lanches,10.49,20.0
2037e5b1-3ba3-4cc5-8060-88614edb8905,Sabor Carioca,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/2037e5b1-3ba3-4cc5-8060-88614edb8905/201911181935_x6wn_i.jpg,natal-rn,Lanches,11.49,20.0
c161b554-7018-4538-a379-8598c1699e7f,Olga Pao de Queijo (tirol),https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/c161b554-7018-4538-a379-8598c1699e7f/202001291251_XMHP_.jpeg,natal-rn,Lanches,12.49,10.0
9f026660-ff94-45ae-ba12-9d482e10f5e0,Mastodonuts,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/9f026660-ff94-45ae-ba12-9d482e10f5e0/202009151806_hiuJ_i.jpg,natal-rn,Doces & Bolos,5.49,10.0
5dcc9a59-fdca-4948-9475-79f87bf7cdd0,Conveniência Satélite 24h,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/5dcc9a59-fdca-4948-9475-79f87bf7cdd0/202003172037_rdW8_.jpeg,natal-rn,Conveniência,7.49,10.0
8f787eb5-633c-4aad-833d-553f499f6579,Mlc Doces,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/8f787eb5-633c-4aad-833d-553f499f6579/202003211224_jmi4_i.jpg,natal-rn,Doces & Bolos,12.49,10.0
e80b7ac4-2ee1-43fc-9d8b-262a1c84c842,Valeria Calazans,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/e80b7ac4-2ee1-43fc-9d8b-262a1c84c842/202004021223_1XAy_.jpeg,natal-rn,Brasileira,12.0,5.0
4f757cdd-9169-4c29-bed8-2e78cfbcab13,pastelaria Grande Chef,https://static-images.ifood.com.br/image/upload/t_thumbnail/logosgde/4f757cdd-9169-4c29-bed8-2e78cfbcab13/202108031710_BPsy_.jpeg,natal-rn,Pastel,12.0,5.0
